ligand_number,Ki (nM),Log Ki (nM)
0,40,1.60205999132796
1,4500,3.65321251377534
2,610,2.78532983501077
3,630,2.79934054945358
4,8700,3.93951925261862
6,0.892,-0.049635145623877
7,58.8,1.76937732607614
8,406,2.60852603357719
9,8030,3.90471554527868
10,769,2.88592633980143
11,7850,3.89486965674525
12,3570,3.55266821611219
13,665,2.8228216453031
14,15.7,1.19589965240923
15,33.3,1.52244423350632
16,290,2.46239799789896
17,6390,3.8055008581584
18,66.3,1.82151352840477
19,3080,3.48855071650044
20,18,1.25527250510331
21,1490,3.17318626841227
22,777,2.89042101880091
23,21,1.32221929473392
24,637,2.80413943233535
25,223,2.34830486304816
26,42,1.6232492903979
27,94,1.9731278535997
28,9,0.954242509439325
29,1250,3.09691001300806
30,7280,3.86213137931304
31,5910,3.77158748088125
32,628,2.7979596437372
33,610,2.78532983501077
34,40,1.60205999132796
35,40000,4.60205999132796
36,50000,4.69897000433602
37,10000,4
38,100000,5
39,100000,5
40,100000,5
41,100000,5
